date,fighter,kd,sig_strike_landed,sig_strike_attempts,sig_strike_percent,strike_landed,strike_attempts,td_landed,td_attempts,td_percent,sub_attempts,pass,rev,kds_received,sig_strikes_received,strikes_received,tds_received,method,round_finished,time,rounds,res,weight_class,fight_pk,sig_strikes_avoided,tds_defended,strikes_avoided,strike_percent,sig_reg_mixture,sig_reg_percent
2022-03-26,Matheus Nicolau,1,36,81,0.4444444444444444,46,94,0,2,0,0,0,NA,0,39,60,0,Decision,3,05:00:00,3,W,Men_Flyweight,6517,71,2,74,0.48936170212765956,0.8617021276595744,0.4685714285714286
2022-03-26,David Dvorak,0,39,110,0.35454545454545455,60,134,0,2,0,0,0,NA,1,36,46,0,Decision,3,05:00:00,3,L,Men_Flyweight,6517,45,2,48,0.44776119402985076,0.8208955223880597,0.4057377049180328
2022-03-26,Luis Saldana,0,84,168,0.5,88,173,2,5,0.4,0,0,NA,0,66,68,1,Decision,3,05:00:00,3,W,Men_Featherweight,6516,112,1,112,0.5086705202312138,0.9710982658959537,0.5043988269794721
2022-03-26,Bruno Souza,0,66,178,0.3707865168539326,68,180,1,2,0.5,0,0,NA,0,84,88,2,Decision,3,05:00:00,3,L,Men_Featherweight,6516,84,3,85,0.37777777777777777,0.9888888888888889,0.3743016759776536
2022-03-19,Alexander Volkov,0,13,23,0.5652173913043478,13,23,0,0,0,0,0,NA,0,29,35,2,Submission,1,03:45:00,5,L,Men_Heavyweight,6515,14,0,15,0.5652173913043478,1,0.5652173913043478
2022-03-19,Tom Aspinall,0,29,43,0.6744186046511628,35,50,2,2,1,1,0,NA,0,13,13,0,Submission,1,03:45:00,5,W,Men_Heavyweight,6515,10,0,10,0.7,0.86,0.6881720430107527
2022-03-19,Arnold Allen,0,49,84,0.5833333333333334,50,85,0,0,0,0,0,NA,0,14,14,0,KO/TKO,1,02:33:00,3,W,Men_Featherweight,6514,35,0,35,0.5882352941176471,0.9882352941176471,0.5857988165680473
2022-03-19,Dan Hooker,0,14,49,0.2857142857142857,14,49,0,0,0,0,0,NA,0,49,50,0,KO/TKO,1,02:33:00,3,L,Men_Featherweight,6514,35,0,35,0.2857142857142857,1,0.2857142857142857
2022-03-19,Paddy Pimblett,0,3,6,0.5,5,8,1,2,0.5,1,0,NA,0,7,16,0,Submission,1,03:49:00,3,W,Men_Lightweight,6513,2,0,5,0.625,0.75,0.5714285714285714
2022-03-19,Kazula Vargas,0,7,9,0.7777777777777778,16,21,0,0,0,0,0,NA,0,3,5,1,Submission,1,03:49:00,3,L,Men_Lightweight,6513,3,1,3,0.7619047619047619,0.42857142857142855,0.7666666666666667
2022-03-19,Gunnar Nelson,0,44,55,0.8,140,166,3,3,1,1,0,NA,0,9,16,0,Decision,3,05:00:00,3,W,Men_Welterweight,6512,14,0,18,0.8433734939759037,0.3313253012048193,0.832579185520362
2022-03-19,Takashi Sato,0,9,23,0.391304347826087,16,34,0,0,0,0,0,NA,0,44,140,3,Decision,3,05:00:00,3,L,Men_Welterweight,6512,11,0,26,0.47058823529411764,0.6764705882352942,0.43859649122807015
2022-03-19,Molly McCann,1,85,159,0.5345911949685535,99,174,2,2,1,0,0,NA,0,64,76,0,KO/TKO,3,01:52:00,3,W,Women_Flyweight,6511,68,0,68,0.5689655172413793,0.9137931034482759,0.5525525525525525
2022-03-19,Luana Carolina,0,64,132,0.48484848484848486,76,144,0,0,0,0,0,NA,1,85,99,2,KO/TKO,3,01:52:00,3,L,Women_Flyweight,6511,74,0,75,0.5277777777777778,0.9166666666666666,0.5072463768115942
2022-03-19,Jai Herbert,1,22,63,0.3492063492063492,50,94,0,0,0,0,0,NA,1,20,31,1,KO/TKO,2,01:07:00,3,L,Men_Lightweight,6510,21,3,24,0.5319148936170213,0.6702127659574468,0.4585987261146497
2022-03-19,Ilia Topuria,1,20,41,0.4878048780487805,31,55,1,4,0.25,0,0,NA,1,22,50,0,KO/TKO,2,01:07:00,3,W,Men_Lightweight,6510,41,0,44,0.5636363636363636,0.7454545454545455,0.53125
2022-03-19,Mike Grundy,0,0,3,0,0,3,1,1,1,0,0,NA,0,0,0,0,Submission,1,00:57:00,3,L,Men_Featherweight,6509,1,0,1,0,1,0
2022-03-19,Makwan Amirkhani,0,0,1,0,0,1,0,0,0,1,0,NA,0,0,0,1,Submission,1,00:57:00,3,W,Men_Featherweight,6509,3,0,3,0,1,0
2022-03-19,Shamil Abdurakhimov,0,17,34,0.5,17,34,0,1,0,0,0,NA,1,21,22,0,KO/TKO,1,04:03:00,3,L,Men_Heavyweight,6508,26,0,26,0.5,1,0.5
2022-03-19,Sergei Pavlovich,1,21,47,0.44680851063829785,22,48,0,0,0,0,0,NA,0,17,17,0,KO/TKO,1,04:03:00,3,W,Men_Heavyweight,6508,17,1,17,0.4583333333333333,0.9791666666666666,0.45263157894736844
2022-03-19,Nikita Krylov,0,19,25,0.76,30,39,1,1,1,0,0,NA,0,2,11,1,Submission,1,03:57:00,3,L,Men_Heavyweight,6507,1,0,1,0.7692307692307693,0.6410256410256411,0.765625
2022-03-19,Paul Craig,0,2,3,0.6666666666666666,11,12,1,1,1,1,0,NA,0,19,30,1,Submission,1,03:57:00,3,W,Men_Heavyweight,6507,6,0,9,0.9166666666666666,0.25,0.8666666666666667
2022-03-19,Jack Shore,2,70,107,0.6542056074766355,87,128,3,7,0.42857142857142855,0,0,NA,0,72,75,2,Decision,3,05:00:00,3,W,Men_Bantamweight,6506,78,1,80,0.6796875,0.8359375,0.6680851063829787
2022-03-19,Timur Valiev,0,72,150,0.48,75,155,2,3,0.6666666666666666,1,0,NA,2,70,87,3,Decision,3,05:00:00,3,L,Men_Bantamweight,6506,37,4,41,0.4838709677419355,0.967741935483871,0.4819672131147541
2022-03-19,Cory McKenna,0,60,160,0.375,99,216,3,7,0.42857142857142855,0,0,NA,0,76,121,0,Decision,3,05:00:00,3,L,Women_Strawweight,6505,64,0,72,0.4583333333333333,0.7407407407407407,0.4228723404255319
2022-03-19,Elise Reed,0,76,140,0.5428571428571428,121,193,0,0,0,0,0,NA,0,60,99,3,Decision,3,05:00:00,3,W,Women_Strawweight,6505,100,4,117,0.6269430051813472,0.7253886010362695,0.5915915915915916
